firstName;lastName;teamName;position;Owned
Tomas;Hertl;CZE;F;94 %
Rasmus;Andersson;SWE;D;94 %
Victor;Hedman;SWE;D;94 %
Bo;Horvat;CAN;F;94 %
Brayden;Point;CAN;F;94 %
J.T.;Miller;USA;F;92 %
Brock;Faber;USA;D;92 %
Thomas;Harley;CAN;D;92 %
Kevin;Fiala;SUI;F;91 %
Elias;Pettersson;SWE;F;90 %
Vincent;Trocheck;USA;F;88 %
Erik;Karlsson;SWE;D;88 %
Brock;Nelson;USA;F;86 %
Nikolaj;Ehlers;DEN;F;86 %
Artturi;Lehkonen;FIN;F;84 %
Timo;Meier;SUI;F;84 %
Filip;Hronek;CZE;D;81 %
Rickard;Rakell;SWE;F;81 %
JJ;Peterka;GER;F;77 %
Oliver;Ekman-Larsson;SWE;D;76 %
Anton;Lundell;FIN;F;75 %
Noah;Hanifin;USA;D;70 %
Elias;Lindholm;SWE;F;65 %
Hampus;Lindholm;SWE;D;65 %
Anthony;Cirelli;CAN;F;62 %
Pavel;Zacha;CZE;F;61 %
Simon;Nemec;SVK;D;61 %
Devon;Toews;CAN;D;59 %
Gabriel;Landeskog;SWE;F;58 %
Travis;Sanheim;CAN;D;53 %
Mikael;Granlund;FIN;F;50 %
Drew;Doughty;CAN;D;50 %
Colton;Parayko;CAN;D;49 %
Eeli;Tolvanen;FIN;F;46 %
Gustav;Forsling;SWE;D;46 %
Oliver;Kapanen;FIN;F;42 %
Marcus;Johansson;SWE;F;42 %
Philip;Broberg;SWE;D;38 %
Radko;Gudas;CZE;D;34 %
Teuvo;Teravainen;FIN;F;33 %
Dalibor;Dvorsky;SVK;F;33 %
Esa;Lindell;FIN;D;31 %
Alexander;Wennberg;SWE;F;30 %
Martin;Fehervary;SVK;D;29 %
J.J.;Moser;SUI;D;29 %
Kaapo;Kakko;FIN;F;23 %
Pavol;Regenda;SVK;F;23 %
Oliver;Bjorkstrand;DEN;F;19 %
Jaccob;Slavin;USA;D;17 %
Erik;Haula;FIN;F;17 %
Eetu;Luostarinen;FIN;F;17 %
Martin;Pospisil;SVK;F;16 %
Philipp;Kurashev;SUI;F;16 %
Alexandre;Texier;FRA;F;15 %
Nino;Niederreiter;SUI;F;12 %
Lukas;Reichel;GER;F;11 %
Niko;Mikkola;FIN;D;10 %
Pius;Suter;SUI;F;10 %
Teddy;Blueger;LAT;F;9 %
Uvis;Balinskis;LAT;D;9 %
Erik;Cernak;SVK;D;9 %
Joel;Armia;FIN;F;7 %
Rasmus;Ristolainen;FIN;D;6 %
Michal;Ivan;SVK;D;6 %
Ondrej;Palat;CZE;F;5 %
Jonas;Siegenthaler;SUI;D;5 %
Radek;Faksa;CZE;F;4 %
Zemgus;Girgensons;LAT;F;4 %
Pontus;Holmberg;SWE;F;4 %
David;Tomasek;CZE;F;3 %
Lars;Eller;DEN;F;3 %
Nicklas;Jensen;DEN;F;3 %
Nicholas B;Jensen;DEN;D;3 %
Henri;Jokiharju;FIN;D;3 %
Josh;Samanski;GER;F;3 %
Dans;Locmelis;LAT;F;3 %
Sandis;Vilmanis;LAT;F;3 %
David;Kampf;CZE;F;2 %
David;Spacek;CZE;D;2 %
Joel;Kiviranta;FIN;F;2 %
Olli;Maatta;FIN;D;2 %
Nikolas;Matinpalo;FIN;D;2 %
Nico;Sturm;GER;F;2 %
Jonas;Rondbjerg;DEN;F;1 %
Wojciech;Stachowiak;GER;F;1 %
Fabio;Wagner;GER;D;1 %
Matthew;Bradley;ITA;F;1 %
Connor;Hellebuyck;USA;G;0 %
Jake;Oettinger;USA;G;0 %
Jeremy;Swayman;USA;G;0 %
Roman;Cervenka;CZE;F;0 %
Jakub;Flek;CZE;F;0 %
Ondrej;Kase;CZE;F;0 %
Dominik;Kubalik;CZE;F;0 %
Lukas;Sedlak;CZE;F;0 %
Matej;Stransky;CZE;F;0 %
Michal;Kempny;CZE;D;0 %
Tomas;Kundratek;CZE;D;0 %
Jan;Rutta;CZE;D;0 %
Radim;Simek;CZE;D;0 %
Jiri;Tichacek;CZE;D;0 %
Lukas;Dostal;CZE;G;0 %
Karel;Vejmelka;CZE;G;0 %
Dan;Vladar;CZE;G;0 %
Mikkal;Aagaard;DEN;F;0 %
Mathias;Bau;DEN;F;0 %
Joachim;Blichfeld;DEN;F;0 %
Oscar Fisker;Molgaard;DEN;F;0 %
Nick;Olesen;DEN;F;0 %
Morten;Poulsen;DEN;F;0 %
Patrick;Russell;DEN;F;0 %
Frederik;Storm;DEN;F;0 %
Alexander;TRUE;DEN;F;0 %
Christian;Wejse;DEN;F;0 %
Jesper Jensen;Aabo;DEN;D;0 %
Anders;Koch;DEN;D;0 %
Matias;Lassen;DEN;D;0 %
Markus;Lauridsen;DEN;D;0 %
Oliver;Lauridsen;DEN;D;0 %
Phillip;Bruggisser;DEN;D;0 %
Frederik;Andersen;DEN;G;0 %
Frederik;Dichow;DEN;G;0 %
Mads;Sogaard;DEN;G;0 %
Mikko;Lehtonen;FIN;D;0 %
Kevin;Lankinen;FIN;G;0 %
Ukko-Pekka;Luukkonen;FIN;G;0 %
Juuse;Saros;FIN;G;0 %
Justin;Addamo;FRA;F;0 %
Pierre-Édouard;Bellemare;FRA;F;0 %
Charles;Bertrand;FRA;F;0 %
Louis;Boudon;FRA;F;0 %
Kévin;Bozon;FRA;F;0 %
Stéphane Da;Costa;FRA;F;0 %
Aurélien;Dair;FRA;F;0 %
Floran;Douay;FRA;F;0 %
Dylan;Fabre;FRA;F;0 %
Jordann;Perret;FRA;F;0 %
Anthony;Rech;FRA;F;0 %
Nicolas;Ritz;FRA;F;0 %
Sacha;Treille;FRA;F;0 %
Yohann;Auvitu;FRA;D;0 %
Jules;Boscq;FRA;D;0 %
Enzo;Cantagallo;FRA;D;0 %
Florian;Chakiachvili;FRA;D;0 %
Pierre;Crinon;FRA;D;0 %
Hugo;Gallet;FRA;D;0 %
Enzo;Guebey;FRA;D;0 %
Thomas;Thiry;FRA;D;0 %
Julian;Junca;FRA;G;0 %
Martin;Neckar;FRA;G;0 %
Alexander;Ehl;GER;F;0 %
Dominik;Kahun;GER;F;0 %
Marc;Michaelis;GER;F;0 %
Tobias;Rieder;GER;F;0 %
Justin;Schütz;GER;F;0 %
Tim;Stützle;GER;F;0 %
Frederik;Tiffels;GER;F;0 %
Parker;Tuomie;GER;F;0 %
Leon;Gawanke;GER;D;0 %
Korbinian;Geibel;GER;D;0 %
Lukas;Kälble;GER;D;0 %
Jonas;Muller;GER;D;0 %
Moritz;Muller;GER;D;0 %
Kai;Wissman;GER;D;0 %
Maximilian;Franzreb;GER;G;0 %
Philipp;Grubauer;GER;G;0 %
Mathias;Niederberger;GER;G;0 %
Tommaso De;Luca;ITA;F;0 %
Cristiano;DiGiacinto;ITA;F;0 %
Luca;Frigo;ITA;F;0 %
Mikael;Frycklund;ITA;F;0 %
Dustin;Gazley;ITA;F;0 %
Diego;Kostner;ITA;F;0 %
Daniel;Mantenuto;ITA;F;0 %
Giovanni;Morini;ITA;F;0 %
Alexander;Petan;ITA;F;0 %
Tommy;Purdeller;ITA;F;0 %
Nick;Saracino;ITA;F;0 %
Alessandro;Segafredo;ITA;F;0 %
Marco;Zanetti;ITA;F;0 %
Dylan Di;Perna;ITA;D;0 %
Gregory Di;Tomaso;ITA;D;0 %
Daniel;Glira;ITA;D;0 %
Phil;Pietroniro;ITA;D;0 %
Jason;Seed;ITA;D;0 %
Alex;Trivellato;ITA;D;0 %
Luca;Zanatta;ITA;D;0 %
Damian;Clara;ITA;G;0 %
Davide;Fadani;ITA;G;0 %
Gianluca;Vallini;ITA;G;0 %
Oskars;Batna;LAT;F;0 %
Rudolfs;Balcers;LAT;F;0 %
Rihards;Bukarts;LAT;F;0 %
Roberts;Bukarts;LAT;F;0 %
Kaspars;Daugavins;LAT;F;0 %
Martins;Dzierkals;LAT;F;0 %
Haralds;Egle;LAT;F;0 %
Renars;Krastenbergs;LAT;F;0 %
Anri;Ravinskis;LAT;F;0 %
Eduards;Tralmaks;LAT;F;0 %
Oskars;Cibulskis;LAT;D;0 %
Ralfs;Freibergs;LAT;D;0 %
Janis;Jaks;LAT;D;0 %
Roberts;Mamcics;LAT;D;0 %
Kristaps;Rubins;LAT;D;0 %
Alberts;Smits;LAT;D;0 %
Kristaps;Zile;LAT;D;0 %
Kristers;Gudlevskis;LAT;G;0 %
Elvis;Merzlikins;LAT;G;0 %
Arturs;Silovs;LAT;G;0 %
Peter;Cehlarik;SVK;F;0 %
Lukas;Cingel;SVK;F;0 %
Libor;Hudacek;SVK;F;0 %
Milos;Kelemen;SVK;F;0 %
Adam;Liska;SVK;F;0 %
Oliver;Okuliar;SVK;F;0 %
Adam;Ruzicka;SVK;F;0 %
Matus;Sukel;SVK;F;0 %
Samuel;Takac;SVK;F;0 %
Tomas;Tatar;SVK;F;0 %
Peter;Ceresnak;SVK;D;0 %
Martin;Gernat;SVK;D;0 %
Patrik;Koch;SVK;D;0 %
Martin;Marincin;SVK;D;0 %
Adam;Gajan;SVK;G;0 %
Samuel;Hlavaj;SVK;G;0 %
Stanislav;Skorvanek;SVK;G;0 %
Joel Eriksson;Ek;SWE;F;0 %
Filip;Gustavsson;SWE;G;0 %
Jacob;Markstrom;SWE;G;0 %
Jesper;Wallstedt;SWE;G;0 %
Sven;Andrighetto;SUI;F;0 %
Christoph;Bertschy;SUI;F;0 %
Ken;Jager;SUI;F;0 %
Simon;Knak;SUI;F;0 %
Denis;Malgin;SUI;F;0 %
Damien;Riat;SUI;F;0 %
Sandro;Schmid;SUI;F;0 %
Calvin;Thurkauf;SUI;F;0 %
Tim;Berni;SUI;D;0 %
Michael;Fora;SUI;D;0 %
Andrea;Glauser;SUI;D;0 %
Dean;Kukan;SUI;D;0 %
Christian;Marti;SUI;D;0 %
Reto;Berra;SUI;G;0 %
Leonardo;Genoni;SUI;G;0 %
Akira;Schmid;SUI;G;0 %
Jordan;Binnington;CAN;G;0 %
Darcy;Kuemper;CAN;G;0 %
